step,paths_init,samples_init,paths_truncated,samples_update,paths_update,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,train_score,eval_score,avg_eval_score
56,160,160000,2,159697,160,4510.409250957379,179.95892417994918,4847.560527205467,3171.712254166603,1.8141882,0.02,0.008855819702148438,0.35906147956848145,0.0060069314,0.008737199,4354.873084396501,4510.409250957379,4977.265529732706,4545.379814186653
57,160,160000,0,160000,160,4527.571530634514,159.59548106086885,4860.565754264593,4113.165124535561,2.0420089,0.02,0.008870124816894531,0.35736751556396484,0.0057808347,0.0088726245,4372.142929020303,4527.571530634514,4977.265529732706,4545.379814186653
58,160,160000,1,159082,160,4516.912066702428,441.1853818769343,4851.363040566444,71.49175208806992,1.624556,0.02,0.0091400146484375,0.35729193687438965,0.006678962,0.016143735,4386.619842788516,4516.912066702428,4977.265529732706,4545.379814186653
59,160,160000,2,159005,160,4506.709664796176,418.1900863805065,4941.395114630461,979.5247744470835,1.3231461,0.02,0.009003877639770508,0.35680675506591797,0.0069260863,0.017676463,4398.628824989282,4506.709664796176,4977.265529732706,4545.379814186653
60,160,160000,1,159428,160,4538.858868066129,333.8960047500539,4871.765436321497,1620.3435253947973,1.3302958,0.02,0.008990287780761719,0.3558800220489502,0.006741,0.023367105,4412.651829296967,4538.858868066129,4977.265529732706,4545.379814186653
61,160,160000,0,160000,160,4544.271387710748,334.0285046388881,4862.339815109968,1379.5504702180624,1.355433,0.02,0.008971691131591797,0.36031532287597656,0.0072457,0.012649842,4425.813785138345,4544.271387710748,4977.265529732706,4545.379814186653
62,160,160000,0,160000,160,4559.130549905914,145.25063563095085,4855.764743953943,4179.371555134654,1.8112457,0.02,0.008731842041015625,0.3573617935180664,0.0062272036,0.008008778,4439.145461615102,4559.130549905914,4977.265529732706,4545.379814186653
63,160,160000,0,160000,160,4558.094447756116,198.0977260864284,4979.093285381794,3107.452597141266,1.8886602,0.02,0.008910894393920898,0.35918164253234863,0.006138393,0.012752004,4451.0403602292035,4558.094447756116,4977.265529732706,4545.379814186653
64,160,160000,0,160000,160,4549.703842827259,457.2695717890603,4927.404964625835,345.24383219331503,1.511992,0.02,0.008809804916381836,0.35843586921691895,0.0074927257,0.020387849,4460.906708489009,4549.703842827259,4977.265529732706,4545.379814186653
65,160,160000,0,160000,160,4595.11321747182,139.2562895999993,4912.7086500525475,4237.28449177742,2.0072258,0.02,0.00900721549987793,0.35866713523864746,0.005479068,0.006924074,4474.32735938729,4595.11321747182,4977.265529732706,4545.379814186653
66,160,160000,1,159108,160,4560.298905087728,411.960557542156,4999.189057186246,30.48300002515316,1.7552453,0.02,0.008759021759033203,0.35594868659973145,0.0065601943,0.011435851,4482.924513957334,4560.298905087728,4977.265529732706,4545.379814186653
67,160,160000,0,160000,160,4610.059376406576,302.80338299619746,5001.298502206802,1293.571089565754,1.8314298,0.02,0.008818626403808594,0.3585808277130127,0.0064618513,0.012216218,4495.638000202259,4610.059376406576,4977.265529732706,4545.379814186653
68,160,160000,1,159788,160,4595.0440440018665,264.13998996187695,4935.974891483784,2457.5839742571115,1.254539,0.02,0.008954524993896484,0.35560154914855957,0.006545687,0.014146997,4505.57860458222,4595.0440440018665,4977.265529732706,4545.379814186653
69,160,160000,1,159540,160,4616.9234794971535,239.1903909500752,4940.410585492849,2208.4215661138296,1.9261345,0.02,0.009094476699829102,0.35904359817504883,0.005556774,0.005857859,4516.713092073713,4616.9234794971535,4977.265529732706,4545.379814186653
70,160,160000,0,160000,160,4588.77996554717,433.89818500650495,4979.842570126057,1407.8793561160564,1.3189968,0.02,0.008696556091308594,0.3570594787597656,0.0065519195,0.020506673,4523.919779421059,4588.77996554717,4977.265529732706,4545.379814186653
71,160,160000,1,159922,160,4631.231491662283,147.97231418179135,4938.417142003775,4088.47494456172,1.8842459,0.02,0.008817434310913086,0.35745882987976074,0.0058599724,0.0071445704,4534.650950645181,4631.231491662283,4977.265529732706,4545.379814186653
72,160,160000,1,159855,160,4624.643629348837,344.0291831809275,4922.081728264689,814.8680541589856,1.460273,0.02,0.00899505615234375,0.3602945804595947,0.006684116,0.01714769,4543.650218515547,4624.643629348837,4977.265529732706,4545.379814186653
73,160,160000,2,158335,160,4615.043193018297,494.55360896216206,5014.7602325975895,257.3606670200825,2.2093177,0.02,0.008783578872680664,0.35714101791381836,0.005444529,0.007825706,4550.789515965822,4615.043193018297,4977.265529732706,4545.379814186653
74,160,160000,0,160000,160,4667.498346384056,164.59825848308714,5144.404561802745,4261.346940293908,2.0254676,0.02,0.008956432342529297,0.359281063079834,0.005603881,0.0071279444,4562.460399007646,4667.498346384056,4977.265529732706,4545.379814186653
75,160,160000,0,160000,160,4661.547923379927,293.54009336850464,5032.643203631043,2407.4238622039557,1.5004687,0.02,0.009136438369750977,0.3577730655670166,0.0061896886,0.018123668,4572.369151444875,4661.547923379927,4977.265529732706,4545.379814186653
76,160,160000,5,157920,160,4625.111045082379,421.45769159076497,5019.767420768738,1536.9047763049603,1.9378899,0.02,0.008929252624511719,0.3557140827178955,0.005880124,0.009135097,4577.643340808625,4625.111045082379,4977.265529732706,4545.379814186653
77,160,160000,1,159029,160,4680.3346226505,418.6632763093443,5120.76174621284,-153.7014882415533,1.8851744,0.02,0.009314298629760742,0.35791826248168945,0.0056153345,0.007459406,4587.912468992812,4680.3346226505,4977.265529732706,4545.379814186653
